OrderID	OrderDate	Order_ShippedDate	Order_Freight	Order_ShipCity	Order_ShipCountry	Order_UnitPrice	Order_Quantity	Order_Amount	ProductName	Employee_LastName	Employee_FirstName	Employee_Title	CompanyName	Customer_ContactName	Customer_City	Customer_Country	Customer_Phone
1	2016-07-04 00:00:00.000	2016-07-16 00:00:00.000	32.38	Reims	France	14	12	168	Queso Cabrales	Buchanan	Steven	Sales Manager	Vins et alcools Chevalier	Paul Henriot	Reims	France	26.47.15.10
1	2016-07-04 00:00:00.000	2016-07-16 00:00:00.000	32.38	Reims	France	9.8	10	98	Singaporean Hokkien Fried Mee	Buchanan	Steven	Sales Manager	Vins et alcools Chevalier	Paul Henriot	Reims	France	26.47.15.10
1	2016-07-04 00:00:00.000	2016-07-16 00:00:00.000	32.38	Reims	France	34.8	5	174	Mozzarella di Giovanni	Buchanan	Steven	Sales Manager	Vins et alcools Chevalier	Paul Henriot	Reims	France	26.47.15.10
2	2016-07-05 00:00:00.000	2016-07-10 00:00:00.000	11.61	Münster	Germany	18.6	9	167.4	Tofu	Suyama	Michael	Sales Representative	Toms Spezialitäten	Karin Josephs	Münster	Germany	0251-031259
2	2016-07-05 00:00:00.000	2016-07-10 00:00:00.000	11.61	Münster	Germany	42.4	40	1696	Manjimup Dried Apples	Suyama	Michael	Sales Representative	Toms Spezialitäten	Karin Josephs	Münster	Germany	0251-031259
3	2016-07-08 00:00:00.000	2016-07-12 00:00:00.000	65.83	Rio de Janeiro	Brazil	7.7	10	77	Jack's New England Clam Chowder	Peacock	Margaret	Sales Representative	Hanari Carnes	Mario Pontes	Rio de Janeiro	Brazil	(21) 555-0091
3	2016-07-08 00:00:00.000	2016-07-12 00:00:00.000	65.83	Rio de Janeiro	Brazil	42.4	35	1484	Manjimup Dried Apples	Peacock	Margaret	Sales Representative	Hanari Carnes	Mario Pontes	Rio de Janeiro	Brazil	(21) 555-0091
3	2016-07-08 00:00:00.000	2016-07-12 00:00:00.000	65.83	Rio de Janeiro	Brazil	16.8	15	252	Louisiana Fiery Hot Pepper Sauce	Peacock	Margaret	Sales Representative	Hanari Carnes	Mario Pontes	Rio de Janeiro	Brazil	(21) 555-0091
4	2016-07-08 00:00:00.000	2016-07-15 00:00:00.000	41.34	Lyon	France	16.8	6	100.8	Gustaf's Knäckebröd	Leverling	Janet	Sales Representative	Victuailles en stock	Mary Saveley	Lyon	France	78.32.54.86
4	2016-07-08 00:00:00.000	2016-07-15 00:00:00.000	41.34	Lyon	France	15.6	15	234	Ravioli Angelo	Leverling	Janet	Sales Representative	Victuailles en stock	Mary Saveley	Lyon	France	78.32.54.86
4	2016-07-08 00:00:00.000	2016-07-15 00:00:00.000	41.34	Lyon	France	16.8	20	336	Louisiana Fiery Hot Pepper Sauce	Leverling	Janet	Sales Representative	Victuailles en stock	Mary Saveley	Lyon	France	78.32.54.86
5	2016-07-09 00:00:00.000	2016-07-11 00:00:00.000	51.3	Charleroi	Belgium	64.8	40	2592	Sir Rodney's Marmalade	Peacock	Margaret	Sales Representative	Suprêmes délices	Pascale Cartrain	Charleroi	Belgium	(071) 23 67 22 20
5	2016-07-09 00:00:00.000	2016-07-11 00:00:00.000	51.3	Charleroi	Belgium	2	25	50	Geitost	Peacock	Margaret	Sales Representative	Suprêmes délices	Pascale Cartrain	Charleroi	Belgium	(071) 23 67 22 20
5	2016-07-09 00:00:00.000	2016-07-11 00:00:00.000	51.3	Charleroi	Belgium	27.2	40	1088	Camembert Pierrot	Peacock	Margaret	Sales Representative	Suprêmes délices	Pascale Cartrain	Charleroi	Belgium	(071) 23 67 22 20
6	2016-07-10 00:00:00.000	2016-07-16 00:00:00.000	58.17	Rio de Janeiro	Brazil	10	20	200	Gorgonzola Telino	Leverling	Janet	Sales Representative	Hanari Carnes	Mario Pontes	Rio de Janeiro	Brazil	(21) 555-0091
6	2016-07-10 00:00:00.000	2016-07-16 00:00:00.000	58.17	Rio de Janeiro	Brazil	14.4	42	604.8	Chartreuse verte	Leverling	Janet	Sales Representative	Hanari Carnes	Mario Pontes	Rio de Janeiro	Brazil	(21) 555-0091
6	2016-07-10 00:00:00.000	2016-07-16 00:00:00.000	58.17	Rio de Janeiro	Brazil	16	40	640	Maxilaku	Leverling	Janet	Sales Representative	Hanari Carnes	Mario Pontes	Rio de Janeiro	Brazil	(21) 555-0091
7	2016-07-11 00:00:00.000	2016-07-23 00:00:00.000	22.98	Bern	Switzerland	3.6	15	54	Guaraná Fantástica	Buchanan	Steven	Sales Manager	Chop-suey Chinese	Yang Wang	Bern	Switzerland	0452-076545
7	2016-07-11 00:00:00.000	2016-07-23 00:00:00.000	22.98	Bern	Switzerland	19.2	21	403.2	Pâté chinois	Buchanan	Steven	Sales Manager	Chop-suey Chinese	Yang Wang	Bern	Switzerland	0452-076545
7	2016-07-11 00:00:00.000	2016-07-23 00:00:00.000	22.98	Bern	Switzerland	8	21	168	Longlife Tofu	Buchanan	Steven	Sales Manager	Chop-suey Chinese	Yang Wang	Bern	Switzerland	0452-076545
8	2016-07-12 00:00:00.000	2016-07-15 00:00:00.000	148.33	Genève	Switzerland	15.2	20	304	Chang	Dodsworth	Anne	Sales Representative	Richter Supermarkt	Michael Holz	Genève	Switzerland	0897-034214
8	2016-07-12 00:00:00.000	2016-07-15 00:00:00.000	148.33	Genève	Switzerland	13.9	35	486.5	Pavlova	Dodsworth	Anne	Sales Representative	Richter Supermarkt	Michael Holz	Genève	Switzerland	0897-034214
8	2016-07-12 00:00:00.000	2016-07-15 00:00:00.000	148.33	Genève	Switzerland	15.2	25	380	Inlagd Sill	Dodsworth	Anne	Sales Representative	Richter Supermarkt	Michael Holz	Genève	Switzerland	0897-034214
8	2016-07-12 00:00:00.000	2016-07-15 00:00:00.000	148.33	Genève	Switzerland	44	30	1320	Raclette Courdavault	Dodsworth	Anne	Sales Representative	Richter Supermarkt	Michael Holz	Genève	Switzerland	0897-034214
9	2016-07-15 00:00:00.000	2016-07-17 00:00:00.000	13.97	Resende	Brazil	26.2	15	393	Perth Pasties	Leverling	Janet	Sales Representative	Wellington Importadora	Paula Parente	Resende	Brazil	(14) 555-8122
9	2016-07-15 00:00:00.000	2016-07-17 00:00:00.000	13.97	Resende	Brazil	10.4	12	124.8	Original Frankfurter grüne Soße	Leverling	Janet	Sales Representative	Wellington Importadora	Paula Parente	Resende	Brazil	(14) 555-8122
10	2016-07-16 00:00:00.000	2016-07-22 00:00:00.000	81.91	San Cristóbal	Venezuela	35.1	25	877.5	Schoggi Schokolade	Peacock	Margaret	Sales Representative	HILARIÓN-Abastos	Carlos Hernández	San Cristóbal	Venezuela	(5) 555-1340
10	2016-07-16 00:00:00.000	2016-07-22 00:00:00.000	81.91	San Cristóbal	Venezuela	14.4	6	86.4	Chartreuse verte	Peacock	Margaret	Sales Representative	HILARIÓN-Abastos	Carlos Hernández	San Cristóbal	Venezuela	(5) 555-1340
10	2016-07-16 00:00:00.000	2016-07-22 00:00:00.000	81.91	San Cristóbal	Venezuela	10.4	15	156	Original Frankfurter grüne Soße	Peacock	Margaret	Sales Representative	HILARIÓN-Abastos	Carlos Hernández	San Cristóbal	Venezuela	(5) 555-1340
11	2016-07-17 00:00:00.000	2016-07-23 00:00:00.000	140.51	Graz	Austria	15.2	50	760	Chang	Davolio	Nancy	Sales Representative	Ernst Handel	Roland Mendel	Graz	Austria	7675-3425
11	2016-07-17 00:00:00.000	2016-07-23 00:00:00.000	140.51	Graz	Austria	17	65	1105	Chef Anton's Gumbo Mix	Davolio	Nancy	Sales Representative	Ernst Handel	Roland Mendel	Graz	Austria	7675-3425
11	2016-07-17 00:00:00.000	2016-07-23 00:00:00.000	140.51	Graz	Austria	25.6	6	153.6	Mascarpone Fabioli	Davolio	Nancy	Sales Representative	Ernst Handel	Roland Mendel	Graz	Austria	7675-3425
12	2016-07-18 00:00:00.000	2016-07-25 00:00:00.000	3.25	México D.F.	Mexico	8	10	80	Sir Rodney's Scones	Peacock	Margaret	Sales Representative	Centro comercial Moctezuma	Francisco Chang	México D.F.	Mexico	(5) 555-3392
12	2016-07-18 00:00:00.000	2016-07-25 00:00:00.000	3.25	México D.F.	Mexico	20.8	1	20.8	Gravad lax	Peacock	Margaret	Sales Representative	Centro comercial Moctezuma	Francisco Chang	México D.F.	Mexico	(5) 555-3392
13	2016-07-19 00:00:00.000	2016-07-29 00:00:00.000	55.09	Köln	Germany	7.7	16	123.2	Jack's New England Clam Chowder	Peacock	Margaret	Sales Representative	Ottilies Käseladen	Henriette Pfalzheim	Köln	Germany	0221-0644327
13	2016-07-19 00:00:00.000	2016-07-29 00:00:00.000	55.09	Köln	Germany	15.6	50	780	Ravioli Angelo	Peacock	Margaret	Sales Representative	Ottilies Käseladen	Henriette Pfalzheim	Köln	Germany	0221-0644327
13	2016-07-19 00:00:00.000	2016-07-29 00:00:00.000	55.09	Köln	Germany	39.4	15	591	Tarte au sucre	Peacock	Margaret	Sales Representative	Ottilies Käseladen	Henriette Pfalzheim	Köln	Germany	0221-0644327
13	2016-07-19 00:00:00.000	2016-07-29 00:00:00.000	55.09	Köln	Germany	12	21	252	Outback Lager	Peacock	Margaret	Sales Representative	Ottilies Käseladen	Henriette Pfalzheim	Köln	Germany	0221-0644327
